Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Too many girls		ABBOTT George	NB	1940 / USA	 / RKO (Harry Edington + George Abbott)	com. mus.	Richard Carlson, Eddie Bracken, Desi Arnaz, Hal LeRoy, Harry Shannon, Douglas Walton, Chester Clute, Byron Shores, Van Johnson, Iron Eyes Cody, Chief John Big Tree, Jay Silverheels, 	Lucille Ball, Ann Miller, Frances Langford, Libby Bennett, Tiny Person, Ivy Scott, 	Bon+. Petit musical tiré de Broadway, à l'ambiance universitaire et footballistique infantile, faiblement écrit et joué sans grand enthousiasme par des acteurs sans charme, hormis Ball (qui rencontra ici son Arnaz). Peu intelligent et assez indigent, mais légèrement sympathique. Quelques jolies chansons dont une devenue célèbre.	John Twist	"musical ""Too many girls"" de George Marion Jr. + Richard Rodgers + Lorenz Hart"	Frank Redman	"Chans. : Rodgers and HartChor. : LeRoy Prinz"	
Pajama game (The)	Pique-nique en pyjama	ABBOTT George + DONEN Stanley	Coul. / 101mn	1957 / USA	 / WR (George Abbott + S. Donen + Frederick Brisson)	com. mus.	John Raitt, Eddie Foy Jr., Jack Straw, Ralph Dunn, Owen Martin, Jackie Kelk, Ralph W. Chambers, Buzz Miller, Kenneth LeRoy, Jack Waldron, Ralph Volkie, Franklyn Fox, William A. Forester, Peter Gennaro, Elmore Henderson, Fred Villani, Otis Griffith, 	Doris Day, Barbara Nichols, Reta Shaw, Carol Haney, Thelma Pelish, Mary Stanton, Kathy Marlowe, 	Bon.	George Abbott + Richard Bissell	"rom. ""Seven and a half cents"" de R. Bissell"	Harry Stradling Jr.	"Chansons : Richard Adler + Jerry RossChor. : Bob Fosse"	
Paris pieds nus		ABEL Dominique + GORDON Fiona	Coul. / Panavision / 83mn	2016 / F - Be	 / Courage Mon Amour + Moteur S'il Vous Plaît + CG Cinéma (Dominique Abel + Fiona Gordon + Charles Gillibert + Christie Molia)	com.	Dominique Abel, Pierre Richard, David Palatino, Frédéric Meert, Guillaume Delvingt, Philippe Martz, Olivier Parenty, Fabrice Milich, Jean Loison	"Fiona Gordon, Emmanuelle Riva, Emmy Boissard Paumelle, Céline Laurentie, Charlotte Dubery, "	B-. A tout le moins une curiosité, mais tout de même un peu plus : des moments délicats qui font penser à Etaix ou Tati, des idées plaisantes, de la poésie, du loufoque, mais aussi des coups de mou, des imprécisions. L’initiative est louable car elle nous sort des schémas habituels avec une fantaisie presque suffisante.	Dominique Abel + Fiona Gordon		Claire Childeric + Jean-Christophe Leforestier		
This beautiful fantastic	Merveilleux jardin secret de Bella Brown (Le)	ABOUD Simon	Coul. / Panavision / 100mn	2016 / USA -UK	 / Ipso Facto Prod. - Smudge Films - Constance Media (Christine Alderson + Monika Bacardi + Andrea Iervolino + Kami Naghdi)	com. dr.	Andrew Scott, Jeremy Irvine, Tom Wilkinson, Paul Blackwell,	Jessica Brown Findlay, Anna Chancellor, Sheila Hancock, Eileen Davies, Charlotte Asprey, 	Bon+B-. Une approche très british, avec des personnages complexés et excentriques, plein de morgue à l’occasion, sur une histoire à la base peu enthousiasmante, à la poésie assez artificielle. Mais, par la qualité des acteurs, un dialogue fin et élaboré, une lumière délicate, la poésie prend forme, si l’on veut bien faire abstraction de quelques longueurs. 	Simon Aboud		Mike Eley	Anne Nikitin	
Dame de chez Maxim (La)		ABOULKER Marcel	NB	1950 / F	MAIC-SNEG	com.	Saturnin Fabre, Jacques Morel, Robert Vattier, Luc Andrieux, Jacques Fabri, Jean Marsan, Jacques Beauvais, Albert Rieux, Pierre Flourens, 	Arlette Poirier, Marcelle Monthil, Colette Ripert, Marcalle Praince, 	B+. Un rythme quasi-effréné par moments, vif et amusant. La pièce y est pour beaucoup, mais la réalisation classique mais tonique d'Aboulker et l'entrain des protagonistes soulève le tout d'un cran.	adapt : Marcel Aboulker	pièce de Georges Feydeau	Pierre Levent	Paul Durand	
Border Vigilantes		ABRAHAMS Derwin	NB / 63mn	1941 / USA	 / Harry Sherman Prod. (Harry Sherman)	western	"William Boyd (Hopalong Cassidy), Russell Hayden (Lucky Jenkins), Andy Clyde (California Carlson), Victor Jory (Henry Logan), Morris Ankrum (Dan Forbes), Tom Tyler (Yager), Hal Taliaferro (Ed Stone), Jack Rockwell (Hank Weaver), Britt Wood (Lafe Willis), John Beach (henchman), Hank Bell (liveryman), Fox O'Callahan"" (bank guard), Jess Cavin (barfly), Tex Cooper (saloon gambler), Curley Dresden (bank guard), Edward Earle (banker Stephens), Joe Garcio (henchman), Al Haskell (saloon gambler), Philip Kieffer (announces the robbery), Johnny Luther (henchman), Chuck Morrison (wagon wreck henchman), Herman Nowlin (henchman), Cliff Parkinson (weaver rider Jim), Phil Schumacher (vigilante), George Sowards (vigilante), Lem Sowards (henchman), Arthur Thalasso (bartender), Ted Wells (wagon wreck henchman), Henry Wills (cowhand), Hank Worden (Aunt Jennifer's wagon driver), Wen Wright (Frank, Forbes' hand)"	Frances Gifford (Helen Forbes), Ethel Wales (Aunt Jennifer), 	Bon+. Une aventure assez animée du trio, qui la met dans la bonne moyenne de leurs productions. Harlan photographie toujours magnifiquement les Alabama Hills, et on profite de un ou deux gunfights de qualité, dont un premier avec une scène de diversion rare (2 chariots s’accrochent en ville et les 2 conducteurs s’écharpent au milieu de la rue...). La musique est étonnamment solide et présente.	J. Benton Cheney		Russell Harlan	John Leipold	
Secret of the Wastelands		ABRAHAMS Derwin	NB / 66mn	1941 / USA	 / Harry Sherman Prod. (Harry Sherman)	western	William Boyd (Hopalong Cassidy), Andy Clyde (California Carleson), Brad King (Johnny Nelson), Douglas Fowley (Slade Salters), Keith Richards (Clay Elliott, U.S. Mint representative), Richard Loo (Quan), Lee Tung Foo (Doy Kee), Gordon Hart (Doctor Malcolm Birdsall), Earl Gunn (Clanton), Ian MacDonald (Hollister), John Rawlins (Williams), Roland Got (Yeng), Hal Price (Professor Balto Stubbs), Johnny Luther (Bar 20 cowhand), Charles Murphy (henchman), Bill Nestell (horse seller), Jack Rockwell (Sheriff Mulhall)	Soo Yong (Moy Soong), Barbara Britton (Jennifer Kendall), 	BonBon+. Une aventure très insipide où l’on pense d’abord que Hoppy va affronter les Triades chinoises dans une sorte d’évocation du “péril jaune”, mais soudainement le récit prend une allure plus libérale et on apprend que des Chinois nés aux USA ont découvert une vallée mystérieuse et fertile juste derrière les Alabama Hills !!! Hoppy leur donne alors un coup de main, mais le récit n’y gagne pas en plausibilité ou en qualité, d’autant que s’interpose à n’importe quel moment le truand local, déguisé en avocat “Chargé des Affaires Chinoises”... on est en plein délire... Brad King est un pâle 3e larron, mais barbara Britton est charmante.	Gerald Geraghty	hist. de Harry Sinclair Drago (= Bliss Lomax) à partir des pers. créés par Clarence E. Mulford	Russell Harlan	John Leipold	
HOT SHOTS		ABRAHAMS Jim 	Coul.	1991 / USA			Charlie SHEEN, Cary ELWES, Lloyd BRIDGES, Kevin DUNN,	Valeria GOLINO, 						
HOT SHOTS 2		ABRAHAMS Jim 	Coul.	1993 / USA			Charlie SHEEN, Lloyd BRIDGES, Richard CRENNA,	Valeria GOLINO, 						
Airplane flying high	Y a-t-il un pilote dans l'avion?	ABRAHAMS Jim + ZUCKER David + ZUCKER Jerry	Coul.	1980 / USA	 / PAR (Howard W. Koch + John Davison)	com.	Lloyd Bridges, Peter Graves, Robert Stack, Robert Hays, Leslie Nielsen, Stephen Stucker, Kareem Abdul-Jabbar, Jim Abrahams, Frank Ashmore, Jonathan Banks, Craig Berenson, Ted Chapman, Jesse Emmett, Norman Alexander Gibbs, Bob Gorman, Maurice Hill, David Hollander, James Honh, Howard Honig, Gregory Itzin, Howard Jarvis, Michael Laurence, David Leisure, Zachary Lewis, Len Mooy, John O'Leary, Cyril O'Reilly, Bill Porter, Nicholas Pryor, Kenneth Tobey, 	Julie Haggerty, Lorna Patterson, Barbara Billingsley, Lee Bryant, Joyce Bulifant, Mae E. Campbell, Amy Gibson, Rossie Harris, Barbara Mallory, Maureen McGovern, Nora Meerbaum, Mary Mercier, Ethel Merman, Ann Nelson, Laura Nix, Michelle Stacy, 	Bon.	J. Abrahms + D. Zucker + J. Zucker		Joseph Biroc	Elmer Bernstein + Bee Gees	
